Date,Open,High,Low,Close,Adj Close,Month,Year
2000-01-03,17.274,17.274,17.274,17.274,17.274,1,2000
2000-01-04,16.605,16.605,16.605,16.605,16.605,1,2000
2000-01-05,16.362,16.362,16.362,16.362,16.362,1,2000
2000-01-06,21.229,21.229,21.229,21.229,21.229,1,2000
2000-01-07,16.115,16.115,16.115,16.115,16.115,1,2000
2000-01-10,16.115,16.115,16.115,16.115,16.115,1,2000
2000-01-11,27.472,27.472,27.472,27.472,27.472,1,2000
2000-01-12,27.056,27.056,27.056,27.056,27.056,1,2000
2000-01-13,17.83,17.83,17.83,17.83,17.83,1,2000
2000-01-14,17.83,17.83,17.83,17.83,17.83,1,2000
2000-01-17,17.621,17.621,17.621,17.621,17.621,1,2000
2000-01-18,17.412001,17.412001,17.412001,17.412001,17.412001,1,2000
2000-01-19,17.412001,17.412001,17.412001,17.412001,17.412001,1,2000
2000-01-20,17.205,17.205,17.205,17.205,17.205,1,2000
2000-01-21,16.440001000000002,16.440001000000002,16.440001000000002,16.440001000000002,16.440001000000002,1,2000
2000-01-24,16.371,16.371,16.371,16.371,16.371,1,2000
2000-01-25,16.165001,16.165001,16.165001,16.165001,16.165001,1,2000
2000-01-26,16.093,16.093,16.093,16.093,16.093,1,2000
2000-01-27,15.956,15.956,15.956,15.956,15.956,1,2000
2000-01-28,15.956,15.956,15.956,15.956,15.956,1,2000
2000-01-31,16.093,16.093,16.093,16.093,16.093,1,2000
2000-02-01,14.215,14.215,14.215,14.215,14.215,2,2000
2000-02-02,15.887,15.887,15.887,15.887,15.887,2,2000
2000-02-03,16.927,16.927,16.927,16.927,16.927,2,2000
2000-02-04,13.603,13.603,13.603,13.603,13.603,2,2000
2000-02-07,13.053,13.053,13.053,13.053,13.053,2,2000
2000-02-08,23.032,23.032,23.032,23.032,23.032,2,2000
2000-02-09,12.747,12.747,12.747,12.747,12.747,2,2000
2000-02-10,26.636999,26.636999,26.636999,26.636999,26.636999,2,2000
2000-02-11,27.75,27.75,27.75,27.75,27.75,2,2000
2000-02-14,13.113,431.30700700000006,403.130005,13.113,13.113,2,2000
2000-02-15,12.972,413.967987,400.960999,12.972,12.972,2,2000
2000-02-16,12.972,413.967987,405.298004,12.972,12.972,2,2000
2000-02-17,13.387,418.303986,407.466003,13.387,13.387,2,2000
2000-02-18,14.5,14.5,14.5,14.5,14.5,2,2000
2000-02-21,14.5,14.5,14.5,14.5,14.5,2,2000
2000-02-22,15.193,15.193,15.193,15.193,15.193,2,2000
